"","account_status","duration","credit_history","purpose","amount","savings","employment","installment_rate","status_gender","guarantors","resident_since","property","age","other_plans","housing","num_credits","job","people_maintenance","phone","foreign","BAD"
"26","X1",6,"X3","X4",1374,"X1","X3",1,"X3","X1",2,"X1",36,"X1","X2",1,"X2",1,"X2","X1","GOOD"
"27","X4",6,"X1","X5",426,"X1","X5",4,"X4","X1",4,"X3",39,"X3","X2",1,"X2",1,"X1","X1","GOOD"
"28","X3",12,"X2","X5",409,"X4","X3",3,"X2","X1",3,"X1",42,"X3","X1",2,"X3",1,"X1","X1","GOOD"
"29","X2",7,"X3","X5",2415,"X1","X3",3,"X3","X3",2,"X1",34,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"30","X1",60,"X4","X10",6836,"X1","X5",3,"X3","X1",4,"X4",63,"X3","X2",2,"X3",1,"X2","X1","BAD"
"31","X2",18,"X3","X10",1913,"X4","X2",3,"X4","X1",3,"X1",36,"X1","X2",1,"X3",1,"X2","X1","GOOD"
"32","X1",24,"X3","X4",4020,"X1","X3",2,"X3","X1",2,"X3",27,"X2","X2",1,"X3",1,"X1","X1","GOOD"
"33","X2",18,"X3","X1",5866,"X2","X3",2,"X3","X1",2,"X3",30,"X3","X2",2,"X3",1,"X2","X1","GOOD"
"34","X4",12,"X5","X10",1264,"X5","X5",4,"X3","X1",4,"X4",57,"X3","X1",1,"X2",1,"X1","X1","GOOD"
"35","X3",12,"X3","X4",1474,"X1","X2",4,"X2","X1",1,"X2",33,"X1","X2",1,"X4",1,"X2","X1","GOOD"
"36","X2",45,"X5","X5",4746,"X1","X2",4,"X3","X1",2,"X2",25,"X3","X2",2,"X2",1,"X1","X1","BAD"
"37","X4",48,"X5","X8",6110,"X1","X3",1,"X3","X1",3,"X4",31,"X1","X3",1,"X3",1,"X2","X1","GOOD"
"38","X3",18,"X3","X5",2100,"X1","X3",4,"X3","X2",2,"X1",37,"X2","X2",1,"X3",1,"X1","X1","BAD"
"39","X3",10,"X3","X6",1225,"X1","X3",2,"X3","X1",2,"X3",37,"X3","X2",1,"X3",1,"X2","X1","GOOD"
"40","X2",9,"X3","X5",458,"X1","X3",4,"X3","X1",3,"X1",24,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"41","X4",30,"X3","X5",2333,"X3","X5",4,"X3","X1",2,"X3",30,"X1","X2",1,"X4",1,"X1","X1","GOOD"
"42","X2",12,"X3","X5",1158,"X3","X3",3,"X1","X1",1,"X3",26,"X3","X2",1,"X3",1,"X2","X1","GOOD"
"43","X2",18,"X4","X7",6204,"X1","X3",2,"X3","X1",4,"X1",44,"X3","X2",1,"X2",2,"X2","X1","GOOD"
"44","X1",30,"X5","X2",6187,"X2","X4",1,"X4","X1",4,"X3",24,"X3","X1",2,"X3",1,"X1","X1","GOOD"
"45","X1",48,"X5","X2",6143,"X1","X5",4,"X2","X1",4,"X4",58,"X2","X3",2,"X2",1,"X1","X1","BAD"
"46","X4",11,"X5","X1",1393,"X1","X2",4,"X2","X1",4,"X3",35,"X3","X2",2,"X4",1,"X1","X1","GOOD"
"47","X4",36,"X3","X5",2299,"X3","X5",4,"X3","X1",4,"X3",39,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"48","X1",6,"X3","X2",1352,"X3","X1",1,"X2","X1",2,"X2",23,"X3","X1",1,"X1",1,"X2","X1","GOOD"
"49","X4",11,"X5","X1",7228,"X1","X3",1,"X3","X1",4,"X2",39,"X3","X2",2,"X2",1,"X1","X1","GOOD"
"50","X4",12,"X3","X5",2073,"X2","X3",4,"X2","X2",2,"X1",28,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"51","X2",24,"X4","X4",2333,"X5","X2",4,"X3","X1",2,"X2",29,"X1","X2",1,"X2",1,"X1","X1","GOOD"
"52","X2",27,"X4","X2",5965,"X1","X5",1,"X3","X1",2,"X3",30,"X3","X2",2,"X4",1,"X2","X1","GOOD"
"53","X4",12,"X3","X5",1262,"X1","X3",3,"X3","X1",2,"X3",25,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"54","X4",18,"X3","X2",3378,"X5","X3",2,"X3","X1",1,"X2",31,"X3","X2",1,"X3",1,"X2","X1","GOOD"
"55","X2",36,"X4","X1",2225,"X1","X5",4,"X3","X1",4,"X4",57,"X1","X3",2,"X3",1,"X2","X1","BAD"
"56","X4",6,"X2","X1",783,"X5","X3",1,"X3","X3",2,"X1",26,"X2","X2",1,"X2",2,"X1","X1","GOOD"
"57","X2",12,"X3","X5",6468,"X5","X1",2,"X3","X1",1,"X4",52,"X3","X2",1,"X4",1,"X2","X1","BAD"
"58","X4",36,"X5","X5",9566,"X1","X3",2,"X2","X1",2,"X3",31,"X2","X2",2,"X3",1,"X1","X1","GOOD"
"59","X3",18,"X3","X1",1961,"X1","X5",3,"X2","X1",2,"X3",23,"X3","X2",1,"X4",1,"X1","X1","GOOD"
"60","X1",36,"X5","X4",6229,"X1","X2",4,"X2","X2",4,"X4",23,"X3","X1",2,"X2",1,"X2","X1","BAD"
"61","X2",9,"X3","X10",1391,"X1","X3",2,"X4","X1",1,"X1",27,"X1","X2",1,"X3",1,"X2","X1","GOOD"
"62","X2",15,"X5","X5",1537,"X5","X5",4,"X3","X3",4,"X1",50,"X3","X2",2,"X3",1,"X2","X1","GOOD"
"63","X2",36,"X1","X10",1953,"X1","X5",4,"X3","X1",4,"X4",61,"X3","X3",1,"X4",1,"X2","X1","BAD"
"64","X2",48,"X1","X10",14421,"X1","X3",2,"X3","X1",2,"X3",25,"X3","X2",1,"X3",1,"X2","X1","BAD"
"65","X4",24,"X3","X5",3181,"X1","X2",4,"X2","X1",4,"X2",26,"X3","X2",1,"X3",1,"X2","X1","GOOD"
"66","X4",27,"X3","X7",5190,"X5","X5",4,"X3","X1",4,"X2",48,"X3","X2",4,"X3",2,"X2","X1","GOOD"
"67","X4",12,"X3","X5",2171,"X1","X2",2,"X2","X1",2,"X3",29,"X1","X2",1,"X3",1,"X1","X1","GOOD"
"68","X2",12,"X3","X1",1007,"X4","X3",4,"X4","X1",1,"X1",22,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"69","X4",36,"X3","X8",1819,"X1","X3",4,"X3","X1",4,"X4",37,"X2","X3",1,"X3",1,"X2","X1","BAD"
"70","X4",36,"X3","X5",2394,"X5","X3",4,"X2","X1",4,"X3",25,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"71","X4",36,"X3","X2",8133,"X1","X3",1,"X2","X1",2,"X2",30,"X1","X2",1,"X3",1,"X1","X1","GOOD"
"72","X4",7,"X5","X5",730,"X5","X5",4,"X3","X1",2,"X2",46,"X3","X1",2,"X2",1,"X2","X1","GOOD"
"73","X1",8,"X5","X3",1164,"X1","X5",3,"X3","X1",4,"X4",51,"X1","X3",2,"X4",2,"X2","X1","GOOD"
"74","X2",42,"X5","X10",5954,"X1","X4",2,"X2","X1",1,"X1",41,"X1","X2",2,"X2",1,"X1","X1","GOOD"
"75","X1",36,"X3","X8",1977,"X5","X5",4,"X3","X1",4,"X4",40,"X3","X2",1,"X4",1,"X2","X1","BAD"
"76","X1",12,"X5","X2",1526,"X1","X5",4,"X3","X1",4,"X4",66,"X3","X3",2,"X4",1,"X1","X1","GOOD"
"77","X1",42,"X3","X5",3965,"X1","X2",4,"X3","X1",3,"X3",34,"X3","X2",1,"X3",1,"X1","X1","BAD"
"78","X2",11,"X4","X5",4771,"X1","X4",2,"X3","X1",4,"X2",51,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"79","X4",54,"X1","X2",9436,"X5","X3",2,"X3","X1",2,"X2",39,"X3","X2",1,"X2",2,"X1","X1","GOOD"
"80","X2",30,"X3","X4",3832,"X1","X2",2,"X4","X1",1,"X2",22,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"81","X4",24,"X3","X5",5943,"X5","X2",1,"X2","X1",1,"X3",44,"X3","X2",2,"X3",1,"X2","X1","BAD"
"82","X4",15,"X3","X5",1213,"X3","X5",4,"X3","X1",3,"X2",47,"X2","X2",1,"X3",1,"X2","X1","GOOD"
"83","X4",18,"X3","X10",1568,"X2","X3",3,"X2","X1",4,"X2",24,"X3","X1",1,"X2",1,"X1","X1","GOOD"
"84","X1",24,"X3","X3",1755,"X1","X5",4,"X2","X3",4,"X1",58,"X3","X2",1,"X2",1,"X2","X1","GOOD"
"85","X1",10,"X3","X5",2315,"X1","X5",3,"X3","X1",4,"X1",52,"X3","X2",1,"X2",1,"X1","X1","GOOD"
"86","X4",12,"X5","X10",1412,"X1","X3",4,"X2","X3",2,"X1",29,"X3","X2",2,"X4",1,"X2","X1","GOOD"
"87","X2",18,"X5","X4",1295,"X1","X2",4,"X2","X1",1,"X2",27,"X3","X2",2,"X3",1,"X1","X1","GOOD"
"88","X2",36,"X3","X8",12612,"X2","X3",1,"X3","X1",4,"X4",47,"X3","X3",1,"X3",2,"X2","X1","BAD"
"89","X1",18,"X3","X1",2249,"X2","X4",4,"X3","X1",3,"X3",30,"X3","X2",1,"X4",2,"X2","X1","GOOD"
"90","X1",12,"X1","X7",1108,"X1","X4",4,"X3","X1",3,"X1",28,"X3","X2",2,"X3",1,"X1","X1","BAD"
"91","X4",12,"X5","X5",618,"X1","X5",4,"X3","X1",4,"X1",56,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"92","X1",12,"X5","X2",1409,"X1","X5",4,"X3","X1",3,"X1",54,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"93","X4",12,"X5","X5",797,"X5","X5",4,"X2","X1",3,"X2",33,"X1","X2",1,"X2",2,"X1","X1","BAD"
"94","X3",24,"X5","X4",3617,"X5","X5",4,"X3","X2",4,"X4",20,"X3","X1",2,"X3",1,"X1","X1","GOOD"
"95","X2",12,"X3","X1",1318,"X4","X5",4,"X3","X1",4,"X1",54,"X3","X2",1,"X3",1,"X2","X1","GOOD"
"96","X2",54,"X1","X10",15945,"X1","X2",3,"X3","X1",4,"X4",58,"X3","X1",1,"X3",1,"X2","X1","BAD"
"97","X4",12,"X5","X8",2012,"X5","X4",4,"X2","X1",2,"X3",61,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"98","X2",18,"X3","X10",2622,"X2","X3",4,"X3","X1",4,"X3",34,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"99","X2",36,"X5","X5",2337,"X1","X5",4,"X3","X1",4,"X1",36,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"100","X2",20,"X4","X2",7057,"X5","X4",3,"X3","X1",4,"X2",36,"X1","X1",2,"X4",2,"X2","X1","GOOD"
"101","X4",24,"X3","X1",1469,"X2","X5",4,"X4","X1",4,"X1",41,"X3","X1",1,"X2",1,"X1","X1","GOOD"
"102","X2",36,"X3","X5",2323,"X1","X4",4,"X3","X1",4,"X3",24,"X3","X1",1,"X3",1,"X1","X1","GOOD"
"103","X4",6,"X4","X5",932,"X1","X3",3,"X2","X1",2,"X1",24,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"104","X2",9,"X5","X4",1919,"X1","X4",4,"X3","X1",3,"X3",35,"X3","X1",1,"X3",1,"X2","X1","GOOD"
"105","X4",12,"X3","X2",2445,"X5","X2",2,"X4","X1",4,"X3",26,"X3","X1",1,"X3",1,"X2","X1","GOOD"
"106","X2",24,"X5","X3",11938,"X1","X3",2,"X3","X2",3,"X3",39,"X3","X2",2,"X4",2,"X2","X1","BAD"
"107","X4",18,"X2","X1",6458,"X1","X5",2,"X3","X1",4,"X4",39,"X1","X2",2,"X4",2,"X2","X1","BAD"
"108","X2",12,"X3","X1",6078,"X1","X4",2,"X3","X1",2,"X3",32,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"109","X1",24,"X3","X4",7721,"X5","X2",1,"X2","X1",2,"X2",30,"X3","X2",1,"X3",1,"X2","X2","GOOD"
"110","X2",14,"X3","X10",1410,"X3","X5",1,"X4","X1",2,"X1",35,"X3","X2",1,"X3",1,"X2","X1","GOOD"
"111","X2",6,"X4","X10",1449,"X2","X5",1,"X1","X1",2,"X3",31,"X1","X2",2,"X3",2,"X1","X1","GOOD"
"112","X3",15,"X3","X8",392,"X1","X2",4,"X2","X1",4,"X2",23,"X3","X1",1,"X3",1,"X2","X1","GOOD"
"113","X2",18,"X3","X1",6260,"X1","X4",3,"X3","X1",3,"X1",28,"X3","X1",1,"X2",1,"X1","X1","GOOD"
"114","X4",36,"X5","X1",7855,"X1","X3",4,"X2","X1",2,"X1",25,"X2","X2",2,"X3",1,"X2","X1","BAD"
"115","X1",12,"X3","X5",1680,"X3","X5",3,"X4","X1",1,"X1",35,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"116","X4",48,"X5","X5",3578,"X5","X5",4,"X3","X1",1,"X1",47,"X3","X2",1,"X3",1,"X2","X1","GOOD"
"117","X1",42,"X3","X5",7174,"X5","X4",4,"X2","X1",3,"X3",30,"X3","X2",1,"X4",1,"X2","X1","BAD"
"118","X1",10,"X5","X4",2132,"X5","X2",2,"X2","X2",3,"X1",27,"X3","X1",2,"X3",1,"X1","X2","GOOD"
"119","X1",33,"X5","X4",4281,"X3","X3",1,"X2","X1",4,"X3",23,"X3","X2",2,"X3",1,"X1","X1","BAD"
"120","X2",12,"X5","X1",2366,"X3","X4",3,"X1","X1",3,"X3",36,"X3","X2",1,"X4",1,"X2","X1","GOOD"
"121","X1",21,"X3","X5",1835,"X1","X3",3,"X2","X1",2,"X1",25,"X3","X2",2,"X3",1,"X2","X1","BAD"
"122","X4",24,"X5","X2",3868,"X1","X5",4,"X2","X1",2,"X3",41,"X3","X1",2,"X4",1,"X2","X1","GOOD"
"123","X4",12,"X3","X4",1768,"X1","X3",3,"X3","X1",2,"X1",24,"X3","X1",1,"X2",1,"X1","X1","GOOD"
"124","X3",10,"X5","X1",781,"X1","X5",4,"X3","X1",4,"X4",63,"X3","X3",2,"X3",1,"X2","X1","GOOD"
"125","X2",18,"X3","X4",1924,"X5","X2",4,"X2","X1",3,"X1",27,"X3","X1",1,"X3",1,"X1","X1","BAD"
"126","X1",12,"X5","X1",2121,"X1","X3",4,"X3","X1",2,"X2",30,"X3","X2",2,"X3",1,"X1","X1","GOOD"
"127","X1",12,"X3","X5",701,"X1","X3",4,"X4","X1",2,"X1",40,"X3","X2",1,"X2",1,"X1","X1","GOOD"
"128","X2",12,"X3","X7",639,"X1","X3",4,"X3","X1",2,"X3",30,"X3","X2",1,"X3",1,"X1","X1","BAD"
"129","X2",12,"X5","X2",1860,"X1","X1",4,"X3","X1",2,"X3",34,"X3","X2",2,"X4",1,"X2","X1","GOOD"
"130","X1",12,"X5","X1",3499,"X1","X3",3,"X2","X2",2,"X1",29,"X3","X2",2,"X3",1,"X1","X1","BAD"
"131","X2",48,"X3","X1",8487,"X5","X4",1,"X2","X1",2,"X3",24,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"132","X1",36,"X4","X8",6887,"X1","X3",4,"X3","X1",3,"X2",29,"X2","X2",1,"X3",1,"X2","X1","BAD"
"133","X4",15,"X3","X4",2708,"X1","X2",2,"X3","X1",3,"X2",27,"X1","X2",2,"X2",1,"X1","X1","GOOD"
"134","X4",18,"X3","X4",1984,"X1","X3",4,"X3","X1",4,"X4",47,"X1","X3",2,"X3",1,"X1","X1","GOOD"
"135","X4",60,"X3","X5",10144,"X2","X4",2,"X2","X1",4,"X1",21,"X3","X2",1,"X3",1,"X2","X1","GOOD"
"136","X4",12,"X5","X5",1240,"X5","X5",4,"X2","X1",2,"X1",38,"X3","X2",2,"X3",1,"X2","X1","GOOD"
"137","X4",27,"X4","X2",8613,"X4","X3",2,"X3","X1",2,"X3",27,"X3","X2",2,"X3",1,"X1","X1","GOOD"
"138","X2",12,"X3","X5",766,"X3","X3",4,"X3","X1",3,"X1",66,"X3","X2",1,"X2",1,"X1","X1","BAD"
"139","X2",15,"X5","X5",2728,"X5","X4",4,"X3","X3",2,"X1",35,"X1","X2",3,"X3",1,"X2","X1","GOOD"
"140","X3",12,"X3","X5",1881,"X1","X3",2,"X2","X1",2,"X3",44,"X3","X1",1,"X2",1,"X2","X1","GOOD"
"141","X3",6,"X3","X1",709,"X4","X2",2,"X4","X1",2,"X1",27,"X3","X2",1,"X1",1,"X1","X2","GOOD"
"142","X2",36,"X3","X5",4795,"X1","X2",4,"X2","X1",1,"X4",30,"X3","X2",1,"X4",1,"X2","X1","GOOD"
"143","X1",27,"X3","X5",3416,"X1","X3",3,"X3","X1",2,"X3",27,"X3","X2",1,"X4",1,"X1","X1","GOOD"
"144","X1",18,"X3","X4",2462,"X1","X3",2,"X3","X1",2,"X3",22,"X3","X2",1,"X3",1,"X1","X1","BAD"
"145","X4",21,"X5","X4",2288,"X1","X2",4,"X2","X1",4,"X2",23,"X3","X2",1,"X3",1,"X2","X1","GOOD"
"146","X2",48,"X2","X10",3566,"X2","X4",4,"X3","X1",2,"X3",30,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"147","X1",6,"X5","X1",860,"X1","X5",1,"X2","X1",4,"X4",39,"X3","X2",2,"X3",1,"X2","X1","GOOD"
"148","X4",12,"X5","X1",682,"X2","X4",4,"X2","X1",3,"X3",51,"X3","X2",2,"X3",1,"X2","X1","GOOD"
"149","X1",36,"X5","X4",5371,"X1","X3",3,"X3","X3",2,"X2",28,"X3","X2",2,"X3",1,"X1","X1","GOOD"
"150","X4",18,"X5","X5",1582,"X4","X5",4,"X3","X1",4,"X3",46,"X3","X2",2,"X3",1,"X1","X1","GOOD"
"151","X4",6,"X3","X5",1346,"X2","X5",2,"X3","X1",4,"X4",42,"X1","X3",1,"X3",2,"X2","X1","GOOD"
"152","X4",10,"X3","X5",1924,"X1","X3",1,"X3","X1",4,"X2",38,"X3","X2",1,"X3",1,"X2","X2","GOOD"
"153","X3",36,"X3","X5",5848,"X1","X3",4,"X3","X1",1,"X3",24,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"154","X2",24,"X5","X2",7758,"X4","X5",2,"X2","X1",4,"X4",29,"X3","X1",1,"X3",1,"X1","X1","GOOD"
"155","X2",24,"X4","X10",6967,"X2","X4",4,"X3","X1",4,"X3",36,"X3","X1",1,"X4",1,"X2","X1","GOOD"
"156","X1",12,"X3","X4",1282,"X1","X3",2,"X2","X1",4,"X3",20,"X3","X1",1,"X3",1,"X1","X1","BAD"
"157","X1",9,"X5","X7",1288,"X2","X5",3,"X3","X3",4,"X1",48,"X3","X2",2,"X3",2,"X1","X2","GOOD"
"158","X1",12,"X2","X9",339,"X1","X5",4,"X4","X1",1,"X3",45,"X1","X2",1,"X2",1,"X1","X1","GOOD"
"159","X2",24,"X3","X1",3512,"X2","X4",2,"X3","X1",3,"X3",38,"X1","X2",2,"X3",1,"X2","X1","GOOD"
"160","X4",6,"X5","X5",1898,"X5","X3",1,"X3","X1",2,"X1",34,"X3","X2",2,"X2",2,"X1","X1","GOOD"
"161","X4",24,"X5","X5",2872,"X2","X5",3,"X3","X1",4,"X1",36,"X3","X2",1,"X3",2,"X2","X1","GOOD"
"162","X4",18,"X5","X1",1055,"X1","X2",4,"X2","X1",1,"X2",30,"X3","X2",2,"X3",1,"X1","X1","GOOD"
"163","X4",15,"X3","X6",1262,"X3","X4",4,"X3","X1",3,"X2",36,"X3","X2",2,"X3",1,"X2","X1","GOOD"
"164","X2",10,"X3","X1",7308,"X1","X1",2,"X3","X1",4,"X4",70,"X1","X3",1,"X4",1,"X2","X1","GOOD"
"165","X4",36,"X3","X1",909,"X3","X5",4,"X3","X1",4,"X2",36,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"166","X4",6,"X3","X4",2978,"X3","X3",1,"X3","X1",2,"X3",32,"X3","X2",1,"X3",1,"X2","X1","GOOD"
"167","X1",18,"X3","X4",1131,"X1","X1",4,"X2","X1",2,"X3",33,"X3","X2",1,"X3",1,"X1","X1","BAD"
"168","X2",11,"X3","X4",1577,"X4","X2",4,"X2","X1",1,"X1",20,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"169","X4",24,"X3","X4",3972,"X1","X4",2,"X2","X1",4,"X2",25,"X3","X1",1,"X3",1,"X2","X1","GOOD"
"170","X2",24,"X5","X10",1935,"X1","X5",4,"X1","X1",4,"X1",31,"X3","X2",2,"X3",1,"X2","X1","BAD"
"171","X1",15,"X1","X1",950,"X1","X5",4,"X3","X1",3,"X3",33,"X3","X1",2,"X3",2,"X1","X1","BAD"
"172","X4",12,"X3","X4",763,"X1","X3",4,"X2","X1",1,"X1",26,"X3","X2",1,"X3",1,"X2","X1","GOOD"
"173","X2",24,"X4","X4",2064,"X1","X1",3,"X2","X1",2,"X2",34,"X3","X2",1,"X4",1,"X2","X1","BAD"
"174","X2",8,"X3","X5",1414,"X1","X3",4,"X3","X3",2,"X1",33,"X3","X2",1,"X3",1,"X1","X2","GOOD"
"175","X1",21,"X4","X8",3414,"X1","X2",2,"X3","X1",1,"X2",26,"X3","X2",2,"X3",1,"X1","X1","BAD"
"176","X4",30,"X2","X2",7485,"X5","X1",4,"X2","X1",1,"X1",53,"X1","X2",1,"X4",1,"X2","X1","BAD"
"177","X1",12,"X3","X4",2577,"X1","X3",2,"X1","X1",1,"X3",42,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"178","X1",6,"X5","X5",338,"X3","X5",4,"X3","X1",4,"X3",52,"X3","X2",2,"X3",1,"X1","X1","GOOD"
"179","X4",12,"X3","X5",1963,"X1","X4",4,"X3","X1",2,"X3",31,"X3","X1",2,"X4",2,"X2","X1","GOOD"
"180","X1",21,"X5","X1",571,"X1","X5",4,"X3","X1",4,"X1",65,"X3","X2",2,"X3",1,"X1","X1","GOOD"
"181","X4",36,"X4","X10",9572,"X1","X2",1,"X1","X1",1,"X3",28,"X3","X2",2,"X3",1,"X1","X1","BAD"
"182","X2",36,"X4","X10",4455,"X1","X3",2,"X1","X1",2,"X1",30,"X2","X2",2,"X4",1,"X2","X1","BAD"
"183","X1",21,"X2","X1",1647,"X5","X3",4,"X3","X1",2,"X2",40,"X3","X2",2,"X2",2,"X1","X1","BAD"
"184","X4",24,"X5","X4",3777,"X4","X3",4,"X3","X1",4,"X1",50,"X3","X2",1,"X3",1,"X2","X1","GOOD"
"185","X2",18,"X5","X1",884,"X1","X5",4,"X3","X1",4,"X3",36,"X1","X2",1,"X3",2,"X2","X1","BAD"
"186","X4",15,"X5","X5",1360,"X1","X3",4,"X3","X1",2,"X2",31,"X3","X2",2,"X3",1,"X1","X1","GOOD"
"187","X2",9,"X2","X2",5129,"X1","X5",2,"X2","X1",4,"X4",74,"X1","X3",1,"X4",2,"X2","X1","BAD"
"188","X2",16,"X5","X1",1175,"X1","X1",2,"X3","X1",3,"X3",68,"X3","X3",3,"X1",1,"X2","X1","GOOD"
"189","X1",12,"X3","X5",674,"X2","X4",4,"X4","X1",1,"X2",20,"X3","X2",1,"X3",1,"X1","X1","BAD"
"190","X2",18,"X1","X4",3244,"X1","X3",1,"X2","X1",4,"X3",33,"X1","X2",2,"X3",1,"X2","X1","GOOD"
"191","X4",24,"X3","X10",4591,"X4","X3",2,"X3","X1",3,"X2",54,"X3","X2",3,"X4",1,"X2","X1","BAD"
"192","X2",48,"X1","X10",3844,"X2","X4",4,"X3","X1",4,"X4",34,"X3","X3",1,"X2",2,"X1","X1","BAD"
"193","X2",27,"X3","X10",3915,"X1","X3",4,"X3","X1",2,"X3",36,"X3","X2",1,"X3",2,"X2","X1","BAD"
"194","X4",6,"X3","X5",2108,"X1","X4",2,"X4","X1",2,"X1",29,"X3","X1",1,"X3",1,"X1","X1","GOOD"
"195","X2",45,"X3","X5",3031,"X2","X3",4,"X3","X3",4,"X2",21,"X3","X1",1,"X3",1,"X1","X1","BAD"
"196","X2",9,"X5","X8",1501,"X1","X5",2,"X2","X1",3,"X3",34,"X3","X2",2,"X4",1,"X2","X1","BAD"
"197","X4",6,"X5","X5",1382,"X1","X3",1,"X2","X1",1,"X3",28,"X3","X2",2,"X3",1,"X2","X1","GOOD"
"198","X2",12,"X3","X4",951,"X2","X2",4,"X2","X1",4,"X3",27,"X1","X1",4,"X3",1,"X1","X1","BAD"
